WeekBeginning,RouteID,count
2013-07-07,179,885
2013-07-07,179F,977
2013-07-07,190,6782
2013-07-07,190B,2200
2013-07-07,195,364
2013-07-07,195F,1040
2013-07-07,196,199
2013-07-07,196F,1449
2013-07-07,200,4942
2013-07-07,200B,3481
2013-07-07,200C,2020
2013-07-07,202,1451
2013-07-07,202F,3692
2013-07-07,203,1632
2013-07-07,203B,255
2013-07-07,203F,2282
2013-07-07,204,1686
2013-07-07,208,7174
2013-07-07,208B,660
2013-07-07,208N,529
2013-07-07,209F,1411
2013-07-07,222,14088
2013-07-07,224,5418
2013-07-07,224F,6521
2013-07-07,224X,557
2013-07-07,225,1664
2013-07-07,225F,1070
2013-07-07,225M,498
2013-07-07,225X,162
2013-07-07,226F,154
2013-07-07,228,3170
2013-07-07,228F,7342
2013-07-07,228X,644
2013-07-07,229,620
2013-07-07,229F,1422
2013-07-07,229X,144
2013-07-07,230,8291
2013-07-07,231,680
2013-07-07,231A,127
2013-07-07,232,6268
2013-07-07,232R,695
2013-07-07,235,2326
2013-07-07,237,2378
2013-07-07,238,180
2013-07-07,239,2917
2013-07-07,241,4571
2013-07-07,241A,1044
2013-07-07,245,1765
2013-07-07,248,4973
2013-07-07,248F,930
2013-07-07,250,1784
2013-07-07,251,7916
2013-07-07,251A,110
2013-07-07,252,3099
2013-07-07,252A,62
2013-07-07,253,949
2013-07-07,253X,1395
2013-07-07,254,3283
2013-07-07,254X,6772
2013-07-07,262,1957
2013-07-07,265G,255
2013-07-07,265W,228
2013-07-07,271,6466
2013-07-07,281K,100
2013-07-07,287,5454
2013-07-07,288,2982
2013-07-07,288S,559
2013-07-07,300,12550
2013-07-07,300G,1710
2013-07-07,300H,852
2013-07-07,300J,126
2013-07-07,300M,171
2013-07-07,300U,869
2013-07-07,312,40
2013-07-07,320,44
2013-07-07,333,680
2013-07-07,333B,448
2013-07-07,333H,34
2013-07-07,333L,53
2013-07-07,350,305
2013-07-07,350P,11
2013-07-07,352,18
2013-07-07,353,38
2013-07-07,361,996
2013-07-07,374,92
2013-07-07,376,127
2013-07-07,400,6410
2013-07-07,400A,109
2013-07-07,401,3357
2013-07-07,403,942
2013-07-07,404,757
2013-07-07,405,686
2013-07-07,407,42
2013-07-07,411,6207
2013-07-07,411B,79
2013-07-07,411U,317
2013-07-07,415,686
2013-07-07,415H,22
2013-07-07,415V,41
2013-07-07,421,75
2013-07-07,430,1055
2013-07-07,440,3934
2013-07-07,441,2850
2013-07-07,442,2913
2013-07-07,443,48
2013-07-07,451,5535
2013-07-07,451A,65
2013-07-07,452,3642
2013-07-07,452A,7
2013-07-07,452W,40
2013-07-07,461,424
2013-07-07,491,358
2013-07-07,492,136
2013-07-07,492W,128
2013-07-07,493,183
2013-07-07,493T,6
2013-07-07,494,174
2013-07-07,500,10132
2013-07-07,502X,1080
2013-07-07,503,3922
2013-07-07,506,10179
2013-07-07,506H,95
2013-07-07,506X,540
2013-07-07,507,2519
2013-07-07,513,8
2013-07-07,528,1707
2013-07-07,541,597
2013-07-07,541G,5
2013-07-07,541X,9108
2013-07-07,542,1215
2013-07-07,542X,5136
2013-07-07,543,780
2013-07-07,543G,69
2013-07-07,543X,2754
2013-07-07,545,754
2013-07-07,545X,3320
2013-07-07,546,641
2013-07-07,546X,857
2013-07-07,548,2421
2013-07-07,556,4586
2013-07-07,557,4292
2013-07-07,557X,1095
2013-07-07,559,279
2013-07-07,559S,71
2013-07-07,560,3568
2013-07-07,560A,38
2013-07-07,560B,26
2013-07-07,560P,2188
2013-07-07,565,666
2013-07-07,579,279
2013-07-07,580,52
2013-07-07,591A,130
2013-07-07,591C,328
2013-07-07,592,39
2013-07-07,592J,33
2013-07-07,593A,19
2013-07-07,593C,33
2013-07-07,600,1716
2013-07-07,600B,387
2013-07-07,600S,8
2013-07-07,601,836
2013-07-07,601B,21
2013-07-07,605,18
2013-07-07,640,67
2013-07-07,645,1086
2013-07-07,646,1223
2013-07-07,681,1659
2013-07-07,681A,23
2013-07-07,682,624
2013-07-07,683,51
2013-07-07,694,16
2013-07-07,719,2669
2013-07-07,720,7986
2013-07-07,720H,2409
2013-07-07,720M,5
2013-07-07,721,3322
2013-07-07,721A,17
2013-07-07,721F,8522
2013-07-07,721L,6
2013-07-07,721R,38
2013-07-07,721X,1686
2013-07-07,722,1322
2013-07-07,722A,8
2013-07-07,722F,5645
2013-07-07,722X,922
2013-07-07,723F,1008
2013-07-07,723X,160
2013-07-07,724,67
2013-07-07,725,2366
2013-07-07,725A,18
2013-07-07,725F,157
2013-07-07,733,5586
2013-07-07,733C,11
2013-07-07,733G,24
2013-07-07,734,4518
2013-07-07,734S,477
2013-07-07,737,395
2013-07-07,740,691
2013-07-07,740A,6
2013-07-07,741,181
2013-07-07,741A,212
2013-07-07,743,2276
2013-07-07,744,192
2013-07-07,745,1082
2013-07-07,745A,207
2013-07-07,745C,23
2013-07-07,747,946
2013-07-07,747A,138
2013-07-07,747B,36
2013-07-07,749,4010
2013-07-07,749A,143
2013-07-07,749G,414
2013-07-07,750,580
2013-07-07,750A,3
2013-07-07,750B,7
2013-07-07,751,100
2013-07-07,751A,7
2013-07-07,751W,46
2013-07-07,752,215
2013-07-07,752A,46
2013-07-07,753,520
2013-07-07,753A,10
2013-07-07,753H,413
2013-07-07,754,179
2013-07-07,755,15
2013-07-07,820,1397
2013-07-07,820S,203
2013-07-07,823,256
2013-07-07,830F,380
2013-07-07,834,105
2013-07-07,834A,24
2013-07-07,835,260
2013-07-07,837,207
2013-07-07,838,113
2013-07-07,838H,282
2013-07-07,839,475
2013-07-07,839R,18
2013-07-07,840F,1025
2013-07-07,841F,697
2013-07-07,842F,1206
2013-07-07,850,16
2013-07-07,852,55
2013-07-07,860F,969
2013-07-07,861,7137
2013-07-07,862,41
2013-07-07,863,556
2013-07-07,863F,832
2013-07-07,864,3419
2013-07-07,864F,8001
2013-07-07,865,661
2013-07-07,865C,14
2013-07-07,865S,1
2013-07-07,866,87
2013-07-07,866R,19
2013-07-07,867,62
2013-07-07,868,87
2013-07-07,893,15
2013-07-07,894,44
2013-07-07,894S,15
2013-07-07,900,112
2013-07-07,914,36
2013-07-07,B1,3668
2013-07-07,B10,22015
2013-07-07,B10C,1216
2013-07-07,B10X,812
2013-07-07,B11,259
2013-07-07,B12,915
2013-07-07,B1X,849
2013-07-07,C1,14794
2013-07-07,C1G,1824
2013-07-07,C1T,2372
2013-07-07,C1X,1778
2013-07-07,C2,6366
2013-07-07,C2X,3304
2013-07-07,FX22,10
2013-07-07,G10,27002
2013-07-07,G10A,2470
2013-07-07,G10B,1886
2013-07-07,G10C,1721
2013-07-07,G20,4833
2013-07-07,G21,3889
2013-07-07,G21H,12
2013-07-07,G21X,397
2013-07-07,G22,2134
2013-07-07,G30,1033
2013-07-07,G40,5135
2013-07-07,G40M,886
2013-07-07,H20,14396
2013-07-07,H20C,330
2013-07-07,H20R,262
2013-07-07,H21,2239
2013-07-07,H22,9779
2013-07-07,H22C,409
2013-07-07,H22L,2416
2013-07-07,H23,179
2013-07-07,H24,673
2013-07-07,H30,20853
2013-07-07,H30C,718
2013-07-07,H30S,3649
2013-07-07,H31,10242
2013-07-07,H31C,2052
2013-07-07,H32,2235
2013-07-07,HL1,8
2013-07-07,IND_EW,190
2013-07-07,J1,9692
2013-07-07,J1A,1393
2013-07-07,J2,6411
2013-07-07,J7,1755
2013-07-07,LS,7
2013-07-07,M44,39044
2013-07-07,M44C,798
2013-07-07,M44G,1508
2013-07-07,M44P,24
2013-07-07,M44T,832
2013-07-07,M44X,1520
2013-07-07,N1,50
2013-07-07,N10,6
2013-07-07,N178,31
2013-07-07,N202,20
2013-07-07,N21,39
2013-07-07,N22,36
2013-07-07,N224,57
2013-07-07,N254,46
2013-07-07,N262,37
2013-07-07,N3,10712
2013-07-07,N30,42
2013-07-07,N3X,1309
2013-07-07,N4,5202
2013-07-07,N5,3987
2013-07-07,N502,21
2013-07-07,N541,30
2013-07-07,N6,2585
2013-07-07,N721,32
2013-07-07,N864,86
2013-07-07,RZ22,21
2013-07-07,RZ5,90
2013-07-07,SB1,11
2013-07-07,T721,2848
2013-07-07,T721X,775
2013-07-07,T722,1857
2013-07-07,T748,79
2013-07-07,T840,2304
2013-07-07,T842,439
2013-07-07,T863,1836
2013-07-07,W90,8328
2013-07-07,W90M,507
2013-07-07,W91,3203
2013-07-07,W91C,1001
2013-07-14,118,5391
2013-07-14,140,1101
2013-07-14,141,4560
2013-07-14,142,5360
2013-07-14,148,103
2013-07-14,150,7324
2013-07-14,169,318
2013-07-14,170,2232
2013-07-14,171,5286
2013-07-14,174,10545
2013-07-14,177,2197
2013-07-14,178,10990
2013-07-14,263,7002
2013-07-14,265,7687
2013-07-14,273,5734
2013-07-14,281,6054
2013-07-14,501,5440
2013-07-14,502,9786
2013-07-14,100,3528
2013-07-14,100P,128
2013-07-14,101,301
2013-07-14,115,222
2013-07-14,117,6333
2013-07-14,144,2803
2013-07-14,144G,260
2013-07-14,147,5064
2013-07-14,150B,972
2013-07-14,150P,142
2013-07-14,155,1556
2013-07-14,157,5300
2013-07-14,157X,1116
2013-07-14,162,1504
2013-07-14,167,3675
2013-07-14,167C,598
2013-07-14,168,5411
2013-07-14,171A,185
2013-07-14,172,4719
2013-07-14,178A,45
2013-07-14,178F,1445
2013-07-14,178S,1312
2013-07-14,179,978
2013-07-14,179F,946
2013-07-14,190,6899
2013-07-14,190B,2232
2013-07-14,195,345
2013-07-14,195F,965
2013-07-14,196,220
2013-07-14,196F,1489
2013-07-14,200,4984
2013-07-14,200B,3594
2013-07-14,200C,2002
2013-07-14,202,1176
2013-07-14,202F,3628
2013-07-14,203,1465
2013-07-14,203B,255
2013-07-14,203F,2350
2013-07-14,204,1584
2013-07-14,208,6701
2013-07-14,208B,666
2013-07-14,208N,468
2013-07-14,209F,1175
2013-07-14,222,14538
2013-07-14,224,5069
2013-07-14,224F,6197
2013-07-14,224X,555
2013-07-14,225,1638
2013-07-14,225F,1119
2013-07-14,225M,526
2013-07-14,225X,191
2013-07-14,226F,102
2013-07-14,228,2990
2013-07-14,228F,7261
2013-07-14,228X,658
2013-07-14,229,608
2013-07-14,229F,1402
2013-07-14,229X,144
2013-07-14,230,8173
2013-07-14,231,659
2013-07-14,231A,97
2013-07-14,232,6060
2013-07-14,232R,628
2013-07-14,235,2345
2013-07-14,237,2367
2013-07-14,238,171
2013-07-14,239,2710
2013-07-14,241,4557
2013-07-14,241A,1005
2013-07-14,245,1893
2013-07-14,248,4756
2013-07-14,248F,927
2013-07-14,250,1638
2013-07-14,251,8018
2013-07-14,251A,115
2013-07-14,252,3326
2013-07-14,252A,56
2013-07-14,253,960
2013-07-14,253X,1302
2013-07-14,254,2969
2013-07-14,254X,6763
2013-07-14,262,1809
2013-07-14,265G,263
2013-07-14,265W,233
2013-07-14,271,6256
2013-07-14,281K,83
2013-07-14,287,5055
2013-07-14,288,2859
2013-07-14,288S,611
2013-07-14,300,11697
2013-07-14,300G,1689
2013-07-14,300H,809
2013-07-14,300J,122
2013-07-14,300M,169
2013-07-14,300U,578
2013-07-14,312,12
2013-07-14,320,48
2013-07-14,333,672
2013-07-14,333B,458
2013-07-14,333H,28
2013-07-14,333L,31
2013-07-14,350,266
2013-07-14,350P,17
2013-07-14,352,20
2013-07-14,353,39
2013-07-14,361,1186
2013-07-14,374,85
2013-07-14,376,169
2013-07-14,400,6238
2013-07-14,400A,134
2013-07-14,401,2974
2013-07-14,403,833
2013-07-14,404,773
2013-07-14,405,678
2013-07-14,407,55
2013-07-14,411,6295
2013-07-14,411B,61
2013-07-14,411U,280
2013-07-14,415,723
2013-07-14,415H,13
2013-07-14,415V,45
2013-07-14,421,82
2013-07-14,430,1034
2013-07-14,440,3909
2013-07-14,441,2891
2013-07-14,442,2895
2013-07-14,443,48
2013-07-14,451,5452
2013-07-14,451A,77
2013-07-14,452,3556
2013-07-14,452A,8
2013-07-14,452W,51
2013-07-14,461,351
2013-07-14,491,346
2013-07-14,492,120
2013-07-14,492W,105
2013-07-14,493,138
2013-07-14,493T,1
2013-07-14,494,103
2013-07-14,494T,2
2013-07-14,500,10082
2013-07-14,502X,1103
2013-07-14,503,3724
2013-07-14,506,10216
2013-07-14,506H,95
2013-07-14,506X,568
2013-07-14,507,2594
2013-07-14,513,5
2013-07-14,528,1731
2013-07-14,541,536
2013-07-14,541G,11
2013-07-14,541X,8724
2013-07-14,542,1125
2013-07-14,542X,5097
